"country","href","full_url"
"Afghanistan","/travel/destinations/traveler/none/afghanistan","https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan"
"Albania","/travel/destinations/traveler/none/albania","https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania"
"Algeria","/travel/destinations/traveler/none/algeria","https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria"
"American Samoa","/travel/destinations/traveler/none/american-samoa","https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa"
"Andorra","/travel/destinations/traveler/none/andorra","https://wwwnc.cdc.gov/travel/destinations/traveler/none/andorra"
"British Virgin Islands","/travel/destinations/traveler/none/british-virgin-islands","https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands"
"Angola","/travel/destinations/traveler/none/angola","https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola"
"Anguilla","/travel/destinations/traveler/none/anguilla","https://wwwnc.cdc.gov/travel/destinations/traveler/none/anguilla"
"Antarctica","/travel/destinations/traveler/none/antarctica","https://wwwnc.cdc.gov/travel/destinations/traveler/none/antarctica"
"Antigua and Barbuda","/travel/destinations/traveler/none/antigua-and-barbuda","https://wwwnc.cdc.gov/travel/destinations/traveler/none/antigua-and-barbuda"
"Argentina","/travel/destinations/traveler/none/argentina","https://wwwnc.cdc.gov/travel/destinations/traveler/none/argentina"
"Armenia","/travel/destinations/traveler/none/armenia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/armenia"
"Aruba","/travel/destinations/traveler/none/aruba","https://wwwnc.cdc.gov/travel/destinations/traveler/none/aruba"
"French Polynesia","/travel/destinations/traveler/none/french-polynesia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/french-polynesia"
"Australia","/travel/destinations/traveler/none/australia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/australia"
"Austria","/travel/destinations/traveler/none/austria","https://wwwnc.cdc.gov/travel/destinations/traveler/none/austria"
"Azerbaijan","/travel/destinations/traveler/none/azerbaijan","https://wwwnc.cdc.gov/travel/destinations/traveler/none/azerbaijan"
"Azores","/travel/destinations/traveler/none/azores","https://wwwnc.cdc.gov/travel/destinations/traveler/none/azores"
"The Bahamas","/travel/destinations/traveler/none/the-bahamas","https://wwwnc.cdc.gov/travel/destinations/traveler/none/the-bahamas"
"Bahrain","/travel/destinations/traveler/none/bahrain","https://wwwnc.cdc.gov/travel/destinations/traveler/none/bahrain"
"Bangladesh","/travel/destinations/traveler/none/bangladesh","https://wwwnc.cdc.gov/travel/destinations/traveler/none/bangladesh"
"Barbados","/travel/destinations/traveler/none/barbados","https://wwwnc.cdc.gov/travel/destinations/traveler/none/barbados"
"Belarus","/travel/destinations/traveler/none/belarus","https://wwwnc.cdc.gov/travel/destinations/traveler/none/belarus"
"Belgium","/travel/destinations/traveler/none/belgium","https://wwwnc.cdc.gov/travel/destinations/traveler/none/belgium"
"Belize","/travel/destinations/traveler/none/belize","https://wwwnc.cdc.gov/travel/destinations/traveler/none/belize"
"Benin","/travel/destinations/traveler/none/benin","https://wwwnc.cdc.gov/travel/destinations/traveler/none/benin"
"Bermuda","/travel/destinations/traveler/none/bermuda","https://wwwnc.cdc.gov/travel/destinations/traveler/none/bermuda"
"Bhutan","/travel/destinations/traveler/none/bhutan","https://wwwnc.cdc.gov/travel/destinations/traveler/none/bhutan"
"Bolivia","/travel/destinations/traveler/none/bolivia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/bolivia"
"Bonaire","/travel/destinations/traveler/none/bonaire","https://wwwnc.cdc.gov/travel/destinations/traveler/none/bonaire"
"Bosnia and Herzegovina","/travel/destinations/traveler/none/bosnia-and-herzegovina","https://wwwnc.cdc.gov/travel/destinations/traveler/none/bosnia-and-herzegovina"
"Botswana","/travel/destinations/traveler/none/botswana","https://wwwnc.cdc.gov/travel/destinations/traveler/none/botswana"
"Brazil","/travel/destinations/traveler/none/brazil","https://wwwnc.cdc.gov/travel/destinations/traveler/none/brazil"
"British Indian Ocean Territory","/travel/destinations/traveler/none/british-indian-ocean-territory","https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-indian-ocean-territory"
"Brunei","/travel/destinations/traveler/none/brunei","https://wwwnc.cdc.gov/travel/destinations/traveler/none/brunei"
"Bulgaria","/travel/destinations/traveler/none/bulgaria","https://wwwnc.cdc.gov/travel/destinations/traveler/none/bulgaria"
"Burkina Faso","/travel/destinations/traveler/none/burkina-faso","https://wwwnc.cdc.gov/travel/destinations/traveler/none/burkina-faso"
"Burma","/travel/destinations/traveler/none/burma","https://wwwnc.cdc.gov/travel/destinations/traveler/none/burma"
"Burundi","/travel/destinations/traveler/none/burundi","https://wwwnc.cdc.gov/travel/destinations/traveler/none/burundi"
"Turks and Caicos","/travel/destinations/traveler/none/turks-and-caicos","https://wwwnc.cdc.gov/travel/destinations/traveler/none/turks-and-caicos"
"Cambodia","/travel/destinations/traveler/none/cambodia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/cambodia"
"Cameroon","/travel/destinations/traveler/none/cameroon","https://wwwnc.cdc.gov/travel/destinations/traveler/none/cameroon"
"Canada","/travel/destinations/traveler/none/canada","https://wwwnc.cdc.gov/travel/destinations/traveler/none/canada"
"Canary Islands","/travel/destinations/traveler/none/canary-islands","https://wwwnc.cdc.gov/travel/destinations/traveler/none/canary-islands"
"Cape Verde","/travel/destinations/traveler/none/cape-verde","https://wwwnc.cdc.gov/travel/destinations/traveler/none/cape-verde"
"Cayman Islands","/travel/destinations/traveler/none/cayman-islands","https://wwwnc.cdc.gov/travel/destinations/traveler/none/cayman-islands"
"Central African Republic","/travel/destinations/traveler/none/central-african-republic","https://wwwnc.cdc.gov/travel/destinations/traveler/none/central-african-republic"
"Chad","/travel/destinations/traveler/none/chad","https://wwwnc.cdc.gov/travel/destinations/traveler/none/chad"
"Chile","/travel/destinations/traveler/none/chile","https://wwwnc.cdc.gov/travel/destinations/traveler/none/chile"
"China","/travel/destinations/traveler/none/china","https://wwwnc.cdc.gov/travel/destinations/traveler/none/china"
"Christmas Island","/travel/destinations/traveler/none/christmas-island","https://wwwnc.cdc.gov/travel/destinations/traveler/none/christmas-island"
"Cocos Islands","/travel/destinations/traveler/none/cocos-islands","https://wwwnc.cdc.gov/travel/destinations/traveler/none/cocos-islands"
"Colombia","/travel/destinations/traveler/none/colombia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/colombia"
"Comoros","/travel/destinations/traveler/none/comoros","https://wwwnc.cdc.gov/travel/destinations/traveler/none/comoros"
"Congo","/travel/destinations/traveler/none/congo","https://wwwnc.cdc.gov/travel/destinations/traveler/none/congo"
"Cook Islands","/travel/destinations/traveler/none/cook-islands","https://wwwnc.cdc.gov/travel/destinations/traveler/none/cook-islands"
"Costa Rica","/travel/destinations/traveler/none/costa-rica","https://wwwnc.cdc.gov/travel/destinations/traveler/none/costa-rica"
"Ivory Coast","/travel/destinations/traveler/none/ivory-coast","https://wwwnc.cdc.gov/travel/destinations/traveler/none/ivory-coast"
"Croatia","/travel/destinations/traveler/none/croatia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/croatia"
"Cuba","/travel/destinations/traveler/none/cuba","https://wwwnc.cdc.gov/travel/destinations/traveler/none/cuba"
"Curacao","/travel/destinations/traveler/none/curacao","https://wwwnc.cdc.gov/travel/destinations/traveler/none/curacao"
"Cyprus","/travel/destinations/traveler/none/cyprus","https://wwwnc.cdc.gov/travel/destinations/traveler/none/cyprus"
"Czechia","/travel/destinations/traveler/none/czechia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/czechia"
"Democratic Republic of Congo","/travel/destinations/traveler/none/democratic-republic-of-congo","https://wwwnc.cdc.gov/travel/destinations/traveler/none/democratic-republic-of-congo"
"Denmark","/travel/destinations/traveler/none/denmark","https://wwwnc.cdc.gov/travel/destinations/traveler/none/denmark"
"Djibouti","/travel/destinations/traveler/none/djibouti","https://wwwnc.cdc.gov/travel/destinations/traveler/none/djibouti"
"Dominica","/travel/destinations/traveler/none/dominica","https://wwwnc.cdc.gov/travel/destinations/traveler/none/dominica"
"Dominican Republic","/travel/destinations/traveler/none/dominican-republic","https://wwwnc.cdc.gov/travel/destinations/traveler/none/dominican-republic"
"United Arab Emirates","/travel/destinations/traveler/none/united-arab-emirates","https://wwwnc.cdc.gov/travel/destinations/traveler/none/united-arab-emirates"
"Easter Island","/travel/destinations/traveler/none/easter-island","https://wwwnc.cdc.gov/travel/destinations/traveler/none/easter-island"
"Ecuador","/travel/destinations/traveler/none/ecuador","https://wwwnc.cdc.gov/travel/destinations/traveler/none/ecuador"
"Egypt","/travel/destinations/traveler/none/egypt","https://wwwnc.cdc.gov/travel/destinations/traveler/none/egypt"
"El Salvador","/travel/destinations/traveler/none/el-salvador","https://wwwnc.cdc.gov/travel/destinations/traveler/none/el-salvador"
"United Kingdom","/travel/destinations/traveler/none/united-kingdom","https://wwwnc.cdc.gov/travel/destinations/traveler/none/united-kingdom"
