country,disease,transmission,advice,source_url
Afghanistan,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan
Afghanistan,Crimean-Congo Hemorrhagic fever,Tick bite Touching the body fluids of a person or animal infected with CCHF,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan
Afghanistan,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan
Afghanistan,Leishmaniasis,Sand fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan
Afghanistan,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan
Afghanistan,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/afghanistan
Albania,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania
Albania,Crimean-Congo Hemorrhagic fever,Tick bite Touching the body fluids of a person or animal infected with CCHF,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania
Albania,Leishmaniasis,Sand fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania
Albania,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania
Albania,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/albania
Algeria,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria
Algeria,Schistosomiasis,"Wading, swimming, bathing, or washing in contaminated freshwater streams, rivers, ponds, lakes, or untreated pools.",Avoid contaminated water,https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria
Algeria,Leishmaniasis,Sand fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria
Algeria,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria
Algeria,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/algeria
American Samoa,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa
American Samoa,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa
American Samoa,Zika,Mosquito bite An infected pregnant woman can spread it to her unborn baby,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa
American Samoa,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa
American Samoa,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa
Andorra,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/andorra
Andorra,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/andorra
Andorra,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/andorra
British Virgin Islands,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands
British Virgin Islands,Melioidosis,"Contact with contaminated fresh water, mud, or soil, especially after heavy rains Drinking contaminated water Breathing in contaminated dust or water droplets, especially during severe weather","Avoid floodwater and contact with soil or muddy water, particularly after heavy rains Bandage open wounds, cuts, or burns to protect them from coming into contact with soil or water",https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands
British Virgin Islands,African Tick-Bite Fever,Tick bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands
British Virgin Islands,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands
British Virgin Islands,Zika,Mosquito bite An infected pregnant woman can spread it to her unborn baby,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands
British Virgin Islands,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands
British Virgin Islands,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/british-virgin-islands
Angola,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/angola
