country,category,item
Afghanistan,Prescription medicines,Your prescriptions
Afghanistan,Prescription medicines,Travelers' diarrhea antibiotic
Afghanistan,Prescription medicines,Suture/syringe kit Kit is for use by local health care provider & requires a letter from your doctor on letterhead stationery
Afghanistan,Prescription medicines,Altitude sickness medicine
Afghanistan,Prescription medicines,Medicine to prevent malaria
Afghanistan,Medical supplies,Glasses Consider packing spare glasses in case yours are damaged
Afghanistan,Medical supplies,Contact lenses Consider packing spare contacts in case yours are damaged
Afghanistan,Medical supplies,"Needles or syringes (for diabetes, for example) Requires a letter from your doctor on letterhead stationery"
Afghanistan,Medical supplies,Suture kit Kit is for use by local health care provider & requires a letter from your doctor on letterhead stationery
Afghanistan,Medical supplies,Diabetes testing supplies
Afghanistan,Medical supplies,Insulin
Afghanistan,Medical supplies,Inhalers
Afghanistan,Medical supplies,Epinephrine auto-injectors (EpiPens)
Afghanistan,Medical supplies,Medical alert bracelet or necklace
Afghanistan,Over-the-counter medicines,Antacid
Afghanistan,Over-the-counter medicines,Diarrhea medicine Examples: loperamide [Imodium] or bismuth subsalicylate [Pepto-Bismol]
Afghanistan,Over-the-counter medicines,Antihistamine
Afghanistan,Over-the-counter medicines,Motion sickness medicine
Afghanistan,Over-the-counter medicines,Cough drops
Afghanistan,Over-the-counter medicines,Cough suppression/expectorant
Afghanistan,Over-the-counter medicines,Decongestant
Afghanistan,Over-the-counter medicines,"Medicine for pain and fever Examples: acetaminophen, aspirin, or ibuprofen"
Afghanistan,Over-the-counter medicines,Mild laxative
Afghanistan,Over-the-counter medicines,Mild sedative or other sleep aid
Afghanistan,Over-the-counter medicines,Saline nose spray
Afghanistan,Supplies to prevent illness or injury,Hand sanitizer or wipes Alcohol-based hand sanitizer containing at least 60% alcohol or antibacterial hand wipes
Afghanistan,Supplies to prevent illness or injury,Water purification tablets See CDC recommendations: Water Disinfection.
Afghanistan,Supplies to prevent illness or injury,Water purification tablets May be needed if camping or visiting remote areas
Afghanistan,Supplies to prevent illness or injury,Insect repellent Select an insect repellent based on CDC recommendations: Avoid Bug Bites
Afghanistan,Supplies to prevent illness or injury,Permethrin Permethrin is insect repellent for clothing. It may be needed if you spend a lot of time outdoors. Clothing can also be treated at home in advance.
Afghanistan,Supplies to prevent illness or injury,Bed net For protection against insect bites while sleeping
Afghanistan,Supplies to prevent illness or injury,Sunscreen (SPF 15 or greater) with UVA and UVB protection. See Sun Exposure.
Afghanistan,Supplies to prevent illness or injury,Sunglasses and hat Wear for additional sun protection. A wide brim hat is preferred.
Afghanistan,Supplies to prevent illness or injury,"Personal safety equipment Examples: child safety seats, bicycle helmets"
Afghanistan,Supplies to prevent illness or injury,Earplugs
Afghanistan,Supplies to prevent illness or injury,Latex condoms
Afghanistan,First-aid kit,1% hydrocortisone cream
Afghanistan,First-aid kit,Antifungal ointments
Afghanistan,First-aid kit,Antibacterial ointments
Afghanistan,First-aid kit,Antiseptic wound cleanser
Afghanistan,First-aid kit,Aloe gel For sunburns
Afghanistan,First-aid kit,Insect bite treatment Anti-itch gel or cream
Afghanistan,First-aid kit,"Bandages Multiple sizes, gauze, and adhesive tape"
Afghanistan,First-aid kit,Moleskin or molefoam for blisters
Afghanistan,First-aid kit,Elastic/compression bandage wrap For sprains and strains
Afghanistan,First-aid kit,Disposable gloves
Afghanistan,First-aid kit,Digital thermometer
Afghanistan,First-aid kit,Scissors and safety pins
Afghanistan,First-aid kit,Cotton swabs (Q-Tips)
Afghanistan,First-aid kit,Tweezers
Afghanistan,First-aid kit,Eye drops
Afghanistan,First-aid kit,Oral rehydration salts
Afghanistan,Documents,Health insurance documents Health insurance card (your regular plan and/or supplemental travel health insurance plan) and copies of claim forms
Afghanistan,Documents,"Proof of yellow fever vaccination If required for your trip, take your completed International Certificate of Vaccination or Prophylaxis card or medical waiver"
Afghanistan,Documents,"Copies of all prescriptions Make sure prescriptions include generic names. Bring prescriptions for medicines, eye glasses/contacts, and other medical supplies."
Afghanistan,Documents,"Contact card Carry a contact card containing the street addresses, phone numbers, and e-mail addresses of the following: Family member or close contact remaining in the United States Health care provider(s) at home Lodging at your destination Hospitals or clinics (including emergency services) in your destination US embassy or consulate in the destination country or countries"
Afghanistan,Documents,Family member or close contact remaining in the United States
Afghanistan,Documents,Health care provider(s) at home
Afghanistan,Documents,Lodging at your destination
Afghanistan,Documents,Hospitals or clinics (including emergency services) in your destination
Afghanistan,Documents,US embassy or consulate in the destination country or countries
Albania,Prescription medicines,Your prescriptions
Albania,Prescription medicines,Travelers' diarrhea antibiotic
Albania,Prescription medicines,Suture/syringe kit Kit is for use by local health care provider & requires a letter from your doctor on letterhead stationery
Albania,Prescription medicines,Altitude sickness medicine
Albania,Medical supplies,Glasses Consider packing spare glasses in case yours are damaged
Albania,Medical supplies,Contact lenses Consider packing spare contacts in case yours are damaged
Albania,Medical supplies,"Needles or syringes (for diabetes, for example) Requires a letter from your doctor on letterhead stationery"
Albania,Medical supplies,Suture kit Kit is for use by local health care provider & requires a letter from your doctor on letterhead stationery
Albania,Medical supplies,Diabetes testing supplies
Albania,Medical supplies,Insulin
Albania,Medical supplies,Inhalers
Albania,Medical supplies,Epinephrine auto-injectors (EpiPens)
Albania,Medical supplies,Medical alert bracelet or necklace
Albania,Over-the-counter medicines,Antacid
Albania,Over-the-counter medicines,Diarrhea medicine Examples: loperamide [Imodium] or bismuth subsalicylate [Pepto-Bismol]
Albania,Over-the-counter medicines,Antihistamine
Albania,Over-the-counter medicines,Motion sickness medicine
Albania,Over-the-counter medicines,Cough drops
Albania,Over-the-counter medicines,Cough suppression/expectorant
Albania,Over-the-counter medicines,Decongestant
Albania,Over-the-counter medicines,"Medicine for pain and fever Examples: acetaminophen, aspirin, or ibuprofen"
Albania,Over-the-counter medicines,Mild laxative
Albania,Over-the-counter medicines,Mild sedative or other sleep aid
Albania,Over-the-counter medicines,Saline nose spray
Albania,Supplies to prevent illness or injury,Hand sanitizer or wipes Alcohol-based hand sanitizer containing at least 60% alcohol or antibacterial hand wipes
Albania,Supplies to prevent illness or injury,Water purification tablets See CDC recommendations: Water Disinfection.
Albania,Supplies to prevent illness or injury,Insect repellent Select an insect repellent based on CDC recommendations: Avoid Bug Bites
Albania,Supplies to prevent illness or injury,Permethrin Permethrin is insect repellent for clothing. It may be needed if you spend a lot of time outdoors. Clothing can also be treated at home in advance.
Albania,Supplies to prevent illness or injury,Sunscreen (SPF 15 or greater) with UVA and UVB protection. See Sun Exposure.
Albania,Supplies to prevent illness or injury,Sunglasses and hat Wear for additional sun protection. A wide brim hat is preferred.
Albania,Supplies to prevent illness or injury,"Personal safety equipment Examples: child safety seats, bicycle helmets"
Albania,Supplies to prevent illness or injury,Earplugs
Albania,Supplies to prevent illness or injury,Latex condoms
Albania,First-aid kit,1% hydrocortisone cream
Albania,First-aid kit,Antifungal ointments
Albania,First-aid kit,Antibacterial ointments
Albania,First-aid kit,Antiseptic wound cleanser
Albania,First-aid kit,Aloe gel For sunburns
Albania,First-aid kit,Insect bite treatment Anti-itch gel or cream
Albania,First-aid kit,"Bandages Multiple sizes, gauze, and adhesive tape"
Albania,First-aid kit,Moleskin or molefoam for blisters
Albania,First-aid kit,Elastic/compression bandage wrap For sprains and strains
Albania,First-aid kit,Disposable gloves
Albania,First-aid kit,Digital thermometer
Albania,First-aid kit,Scissors and safety pins
Albania,First-aid kit,Cotton swabs (Q-Tips)
Albania,First-aid kit,Tweezers
Albania,First-aid kit,Eye drops
Albania,First-aid kit,Oral rehydration salts
Albania,Documents,Health insurance documents Health insurance card (your regular plan and/or supplemental travel health insurance plan) and copies of claim forms
Albania,Documents,"Proof of yellow fever vaccination If required for your trip, take your completed International Certificate of Vaccination or Prophylaxis card or medical waiver"
Albania,Documents,"Copies of all prescriptions Make sure prescriptions include generic names. Bring prescriptions for medicines, eye glasses/contacts, and other medical supplies."
Albania,Documents,"Contact card Carry a contact card containing the street addresses, phone numbers, and e-mail addresses of the following: Family member or close contact remaining in the United States Health care provider(s) at home Lodging at your destination Hospitals or clinics (including emergency services) in your destination US embassy or consulate in the destination country or countries"
Albania,Documents,Family member or close contact remaining in the United States
Albania,Documents,Health care provider(s) at home
Albania,Documents,Lodging at your destination
Albania,Documents,Hospitals or clinics (including emergency services) in your destination
Albania,Documents,US embassy or consulate in the destination country or countries
Algeria,Prescription medicines,Your prescriptions
Algeria,Prescription medicines,Travelers' diarrhea antibiotic
Algeria,Prescription medicines,Suture/syringe kit Kit is for use by local health care provider & requires a letter from your doctor on letterhead stationery
Algeria,Prescription medicines,Altitude sickness medicine
Algeria,Medical supplies,Glasses Consider packing spare glasses in case yours are damaged
Algeria,Medical supplies,Contact lenses Consider packing spare contacts in case yours are damaged
Algeria,Medical supplies,"Needles or syringes (for diabetes, for example) Requires a letter from your doctor on letterhead stationery"
Algeria,Medical supplies,Suture kit Kit is for use by local health care provider & requires a letter from your doctor on letterhead stationery
Algeria,Medical supplies,Diabetes testing supplies
Algeria,Medical supplies,Insulin
Algeria,Medical supplies,Inhalers
Algeria,Medical supplies,Epinephrine auto-injectors (EpiPens)
Algeria,Medical supplies,Medical alert bracelet or necklace
Algeria,Over-the-counter medicines,Antacid
Algeria,Over-the-counter medicines,Diarrhea medicine Examples: loperamide [Imodium] or bismuth subsalicylate [Pepto-Bismol]
Algeria,Over-the-counter medicines,Antihistamine
Algeria,Over-the-counter medicines,Motion sickness medicine
Algeria,Over-the-counter medicines,Cough drops
Algeria,Over-the-counter medicines,Cough suppression/expectorant
Algeria,Over-the-counter medicines,Decongestant
Algeria,Over-the-counter medicines,"Medicine for pain and fever Examples: acetaminophen, aspirin, or ibuprofen"
Algeria,Over-the-counter medicines,Mild laxative
Algeria,Over-the-counter medicines,Mild sedative or other sleep aid
Algeria,Over-the-counter medicines,Saline nose spray
Algeria,Supplies to prevent illness or injury,Hand sanitizer or wipes Alcohol-based hand sanitizer containing at least 60% alcohol or antibacterial hand wipes
Algeria,Supplies to prevent illness or injury,Water purification tablets See CDC recommendations: Water Disinfection.
Algeria,Supplies to prevent illness or injury,Insect repellent Select an insect repellent based on CDC recommendations: Avoid Bug Bites
Algeria,Supplies to prevent illness or injury,Permethrin Permethrin is insect repellent for clothing. It may be needed if you spend a lot of time outdoors. Clothing can also be treated at home in advance.
Algeria,Supplies to prevent illness or injury,Sunscreen (SPF 15 or greater) with UVA and UVB protection. See Sun Exposure.
Algeria,Supplies to prevent illness or injury,Sunglasses and hat Wear for additional sun protection. A wide brim hat is preferred.
Algeria,Supplies to prevent illness or injury,"Personal safety equipment Examples: child safety seats, bicycle helmets"
Algeria,Supplies to prevent illness or injury,Earplugs
Algeria,Supplies to prevent illness or injury,Latex condoms
Algeria,First-aid kit,1% hydrocortisone cream
Algeria,First-aid kit,Antifungal ointments
Algeria,First-aid kit,Antibacterial ointments
Algeria,First-aid kit,Antiseptic wound cleanser
Algeria,First-aid kit,Aloe gel For sunburns
Algeria,First-aid kit,Insect bite treatment Anti-itch gel or cream
Algeria,First-aid kit,"Bandages Multiple sizes, gauze, and adhesive tape"
Algeria,First-aid kit,Moleskin or molefoam for blisters
Algeria,First-aid kit,Elastic/compression bandage wrap For sprains and strains
Algeria,First-aid kit,Disposable gloves
Algeria,First-aid kit,Digital thermometer
Algeria,First-aid kit,Scissors and safety pins
Algeria,First-aid kit,Cotton swabs (Q-Tips)
Algeria,First-aid kit,Tweezers
Algeria,First-aid kit,Eye drops
Algeria,First-aid kit,Oral rehydration salts
Algeria,Documents,Health insurance documents Health insurance card (your regular plan and/or supplemental travel health insurance plan) and copies of claim forms
Algeria,Documents,"Proof of yellow fever vaccination If required for your trip, take your completed International Certificate of Vaccination or Prophylaxis card or medical waiver"
Algeria,Documents,"Copies of all prescriptions Make sure prescriptions include generic names. Bring prescriptions for medicines, eye glasses/contacts, and other medical supplies."
Algeria,Documents,"Contact card Carry a contact card containing the street addresses, phone numbers, and e-mail addresses of the following: Family member or close contact remaining in the United States Health care provider(s) at home Lodging at your destination Hospitals or clinics (including emergency services) in your destination US embassy or consulate in the destination country or countries"
Algeria,Documents,Family member or close contact remaining in the United States
Algeria,Documents,Health care provider(s) at home
Algeria,Documents,Lodging at your destination
Algeria,Documents,Hospitals or clinics (including emergency services) in your destination
Algeria,Documents,US embassy or consulate in the destination country or countries
American Samoa,Prescription medicines,Your prescriptions
American Samoa,Prescription medicines,Travelers' diarrhea antibiotic
American Samoa,Prescription medicines,Suture/syringe kit Kit is for use by local health care provider & requires a letter from your doctor on letterhead stationery
American Samoa,Prescription medicines,Altitude sickness medicine
American Samoa,Medical supplies,Glasses Consider packing spare glasses in case yours are damaged
American Samoa,Medical supplies,Contact lenses Consider packing spare contacts in case yours are damaged
American Samoa,Medical supplies,"Needles or syringes (for diabetes, for example) Requires a letter from your doctor on letterhead stationery"
American Samoa,Medical supplies,Suture kit Kit is for use by local health care provider & requires a letter from your doctor on letterhead stationery
American Samoa,Medical supplies,Diabetes testing supplies
American Samoa,Medical supplies,Insulin
American Samoa,Medical supplies,Inhalers
American Samoa,Medical supplies,Epinephrine auto-injectors (EpiPens)
American Samoa,Medical supplies,Medical alert bracelet or necklace
American Samoa,Over-the-counter medicines,Antacid
American Samoa,Over-the-counter medicines,Diarrhea medicine Examples: loperamide [Imodium] or bismuth subsalicylate [Pepto-Bismol]
American Samoa,Over-the-counter medicines,Antihistamine
American Samoa,Over-the-counter medicines,Motion sickness medicine
American Samoa,Over-the-counter medicines,Cough drops
